ref_date,type_of_crop,price_year_before,price_current_year,price_diff_dollars_per_ton,percent_diff
1982,"Beans, all dry (white and coloured)",677,264,-413,-61
1948,"Rye, all",116,53.33,-62.67,-54.03
1975,"Sunflower seed",450,221,-229,-50.89
1930,Oats,42.56,21.67,-20.89,-49.08
1921,"Sugar beets",1.41,0.72,-0.69,-48.94
1930,"Mixed grains",40.33,20.78,-19.55,-48.48
1930,Barley,38.33,20.44,-17.89,-46.67
1921,"Mixed grains",58.67,31.44,-27.23,-46.41
1930,"Rye, all",41.38,22.25,-19.13,-46.23
1930,"Wheat, all",51.22,28,-23.22,-45.33
1938,"Rye, all",30.83,17,-13.83,-44.86
1930,Flaxseed,88.5,49.17,-39.33,-44.44
1931,"Beans, all dry (white and coloured)",82.14,48,-34.14,-41.56
1921,"Wheat, all",71.22,41.67,-29.55,-41.49
1957,"Mustard seed",117,68.5,-48.5,-41.45
1920,Flaxseed,157.2,93.8,-63.4,-40.33
1921,"Corn for silage",1.43,0.89,-0.54,-37.76
1921,Barley,51.78,33.33,-18.45,-35.63
1953,"Rye, all",57.33,37,-20.33,-35.46
1938,"Wheat, all",43,28.89,-14.11,-32.81
1938,Oats,32.22,21.78,-10.44,-32.4
1975,"Sugar beets",53.07,35.93,-17.14,-32.3
1959,"Mustard seed",113.5,77,-36.5,-32.16
1974,"Beans, all dry (white and coloured)",451,306,-145,-32.15
1932,"Corn for grain",26.5,18,-8.5,-32.08
1982,"Rye, all",144.5,98.67,-45.83,-31.72
1959,"Sunflower seed",112.5,77,-35.5,-31.56
1930,Buckwheat,46.33,31.83,-14.5,-31.3
1921,Buckwheat,60.4,41.6,-18.8,-31.13
1931,"Rye, all",22.25,15.33,-6.92,-31.1
1921,"Rye, all",59.12,40.88,-18.24,-30.85
1935,"Corn for grain",26,18,-8,-30.77
1975,Flaxseed,371.67,257.67,-114,-30.67
1922,"Tame hay",2.29,1.59,-0.7,-30.57
1931,"Corn for silage",0.72,0.5,-0.22,-30.56
1930,"Peas, dry",81.89,57,-24.89,-30.39
1981,"Sugar beets",58.33,40.9,-17.43,-29.88
1921,"Beans, all dry (white and coloured)",151.71,106.43,-45.28,-29.85
1975,"Mustard seed",389.67,275,-114.67,-29.43
1921,"Corn for grain",53.5,38,-15.5,-28.97
1921,Oats,43.44,30.89,-12.55,-28.89
1948,Flaxseed,207.8,149.2,-58.6,-28.2
1938,"Mixed grains",28.78,20.67,-8.11,-28.18
1938,Barley,30.78,22.11,-8.67,-28.17
1935,"Tame hay",1.29,0.93,-0.36,-27.91
1930,"Beans, all dry (white and coloured)",113.71,82.14,-31.57,-27.76
1975,"Canola (rapeseed)",310.25,224.5,-85.75,-27.64
1932,"Peas, dry",44.17,32.17,-12,-27.17
1919,"Beans, all dry (white and coloured)",223.43,164.14,-59.29,-26.54
1931,"Corn for grain",36,26.5,-9.5,-26.39
1940,Flaxseed,59.5,43.8,-15.7,-26.39
1912,Flaxseed,63.6,47,-16.6,-26.1
1920,"Wheat, all",95.89,71.22,-24.67,-25.73
1932,"Beans, all dry (white and coloured)",48,35.67,-12.33,-25.69
1920,Oats,58.11,43.44,-14.67,-25.25
1982,Lentils,492,371,-121,-24.59
1935,"Rye, all",21.83,16.5,-5.33,-24.42
1982,"Mustard seed",348,263.33,-84.67,-24.33
1948,Soybeans,112,85,-27,-24.11
1938,"Corn for grain",25,19,-6,-24
1975,"Peas, dry",229,174.5,-54.5,-23.8
1953,Flaxseed,125.8,96,-29.8,-23.69
1930,"Corn for grain",47,36,-11,-23.4
1982,"Sugar beets",40.9,31.33,-9.57,-23.4
1918,"Beans, all dry (white and coloured)",289.5,223.43,-66.07,-22.82
1931,"Peas, dry",57,44.17,-12.83,-22.51
1969,"Mustard seed",103,80,-23,-22.33
1975,Soybeans,233,181,-52,-22.32
1920,"Peas, dry",114.44,89.22,-25.22,-22.04
1967,"Canola (rapeseed)",108.67,84.75,-23.92,-22.01
1923,"Tame hay",1.59,1.24,-0.35,-22.01
1951,"Canola (rapeseed)",100,78,-22,-22
1932,"Corn for silage",0.5,0.39,-0.11,-22
1948,"Corn for grain",64.5,50.5,-14,-21.71
1921,Flaxseed,93.8,73.6,-20.2,-21.54
1982,Flaxseed,313.33,246.33,-67,-21.38
1923,"Corn for silage",0.85,0.67,-0.18,-21.18
1982,"Sunflower seed",252.5,199.5,-53,-20.99
1977,Flaxseed,267.67,213,-54.67,-20.42
1970,"Sunflower seed",121,96.33,-24.67,-20.39
1923,"Rye, all",36.62,29.25,-7.37,-20.13
1964,"Sugar beets",20.3,16.22,-4.08,-20.1
1919,"Corn for grain",75.5,60.5,-15,-19.87
1920,Barley,64.44,51.78,-12.66,-19.65
1984,Soybeans,343,277,-66,-19.24
1938,Flaxseed,56.5,45.67,-10.83,-19.17
1931,"Tame hay",1.17,0.95,-0.22,-18.8
1931,"Mixed grains",20.78,16.89,-3.89,-18.72
1957,"Sugar beets",18.07,14.7,-3.37,-18.65
1913,"Mixed grains",28.78,23.44,-5.34,-18.55
1923,"Sugar beets",0.87,0.71,-0.16,-18.39
1938,Buckwheat,35.5,29,-6.5,-18.31
1931,Flaxseed,49.17,40.17,-9,-18.3
1953,Barley,55.44,45.44,-10,-18.04
1953,Buckwheat,58.5,48,-10.5,-17.95
1911,Flaxseed,77.4,63.6,-13.8,-17.83
1982,"Mixed grains",129.67,106.78,-22.89,-17.65
1984,"Beans, all dry (white and coloured)",622,514,-108,-17.36
1952,Flaxseed,152.2,125.8,-26.4,-17.35
1931,Buckwheat,31.83,26.33,-5.5,-17.28
1931,"Wheat, all",28,23.22,-4.78,-17.07
1932,Flaxseed,40.17,33.33,-6.84,-17.03
1918,"Peas, dry",121.88,101.12,-20.76,-17.03
1982,Barley,134.44,112.33,-22.11,-16.45
1914,"Corn for silage",0.68,0.57,-0.11,-16.18
1982,Buckwheat,378.5,318.5,-60,-15.85
1930,"Tame hay",1.39,1.17,-0.22,-15.83
1975,"Corn for grain",135,113.67,-21.33,-15.8
1925,"Rye, all",43.75,36.88,-6.87,-15.7
1984,"Sugar beets",30.64,25.83,-4.81,-15.7
1981,Soybeans,313,264,-49,-15.65
1957,"Corn for silage",8.62,7.3,-1.32,-15.31
1976,"Sugar beets",35.93,30.5,-5.43,-15.11
1915,Oats,34,28.89,-5.11,-15.03
1955,"Corn for grain",50,42.5,-7.5,-15
1981,"Corn for grain",156.75,133.25,-23.5,-14.99
1961,"Mustard seed",98.67,84,-14.67,-14.87
1981,"Rye, all",169.33,144.5,-24.83,-14.66
1932,Oats,19.78,16.89,-2.89,-14.61
1982,Oats,126.22,107.78,-18.44,-14.61
1958,"Canola (rapeseed)",67.67,58,-9.67,-14.29
1976,"Wheat, all",125.33,107.56,-17.77,-14.18
1925,"Corn for grain",53,45.5,-7.5,-14.15
1912,"Sugar beets",0.65,0.56,-0.09,-13.85
1935,Barley,25.11,21.67,-3.44,-13.7
1932,"Tame hay",0.95,0.82,-0.13,-13.68
1935,"Corn for silage",0.52,0.45,-0.07,-13.46
1921,"Tame hay",2.64,2.29,-0.35,-13.26
1976,Barley,105.78,91.78,-14,-13.24
1966,"Tame hay",21.27,18.5,-2.77,-13.02
1978,"Peas, dry",179.67,156.33,-23.34,-12.99
1940,"Corn for silage",0.54,0.47,-0.07,-12.96
1962,"Corn for silage",9.3,8.1,-1.2,-12.9
1957,"Canola (rapeseed)",77.67,67.67,-10,-12.87
1949,"Corn for grain",50.5,44,-6.5,-12.87
1971,"Corn for grain",57.33,50,-7.33,-12.79
1940,"Rye, all",21.17,18.5,-2.67,-12.61
1928,Buckwheat,47.67,41.67,-6,-12.59
1976,"Mixed grains",94.78,82.89,-11.89,-12.54
1976,Oats,96.78,84.67,-12.11,-12.51
1955,Soybeans,88,77,-11,-12.5
1925,Barley,39.22,34.44,-4.78,-12.19
1953,Oats,50.33,44.22,-6.11,-12.14
1960,"Canola (rapeseed)",88,77.33,-10.67,-12.13
1948,"Beans, all dry (white and coloured)",182,160,-22,-12.09
1970,Buckwheat,67.83,59.67,-8.16,-12.03
1925,"Sugar beets",0.75,0.66,-0.09,-12
1920,Buckwheat,68.6,60.4,-8.2,-11.95
1949,Flaxseed,149.2,131.6,-17.6,-11.8
1956,"Beans, all dry (white and coloured)",170,150,-20,-11.76
1977,Barley,91.78,81,-10.78,-11.75
1925,Oats,36.89,32.56,-4.33,-11.74
1959,"Corn for grain",47,41.5,-5.5,-11.7
1964,Buckwheat,58,51.25,-6.75,-11.64
1977,"Corn for silage",19.85,17.54,-2.31,-11.64
1920,"Corn for grain",60.5,53.5,-7,-11.57
1964,"Rye, all",46.17,40.83,-5.34,-11.57
1952,"Corn for silage",0.87,0.77,-0.1,-11.49
1959,"Sugar beets",16.15,14.3,-1.85,-11.46
1976,"Tame hay",53.39,47.3,-6.09,-11.41
1976,"Rye, all",96.5,85.5,-11,-11.4
1928,"Sugar beets",0.88,0.78,-0.1,-11.36
1965,"Canola (rapeseed)",120.33,106.67,-13.66,-11.35
1969,"Corn for silage",9.54,8.46,-1.08,-11.32
1915,Barley,33.56,29.78,-3.78,-11.26
1966,"Beans, all dry (white and coloured)",170.5,151.5,-19,-11.14
1967,Soybeans,110,98,-12,-10.91
1940,"Sugar beets",0.83,0.74,-0.09,-10.84
1953,"Beans, all dry (white and coloured)",175.5,156.5,-19,-10.83
1970,Flaxseed,102.83,91.83,-11,-10.7
1949,"Beans, all dry (white and coloured)",160,143,-17,-10.62
1944,"Corn for silage",0.66,0.59,-0.07,-10.61
1913,"Rye, all",29.83,26.67,-3.16,-10.59
1960,"Corn for silage",9.08,8.12,-0.96,-10.57
1971,"Mustard seed",85.67,76.67,-9,-10.51
1926,Flaxseed,79.33,71,-8.33,-10.5
1932,Barley,19.11,17.11,-2,-10.47
1929,"Beans, all dry (white and coloured)",127,113.71,-13.29,-10.46
1968,Oats,50.11,44.89,-5.22,-10.42
1922,"Rye, all",40.88,36.62,-4.26,-10.42
1975,Buckwheat,142.25,127.5,-14.75,-10.37
1982,"Wheat, all",175.11,157,-18.11,-10.34
1953,"Mixed grains",46.44,41.67,-4.77,-10.27
1948,Oats,55.22,49.56,-5.66,-10.25
1980,"Sunflower seed",220,197.5,-22.5,-10.23
1934,"Sugar beets",0.69,0.62,-0.07,-10.14
1932,Buckwheat,26.33,23.67,-2.66,-10.1
1953,"Wheat, all",62.89,56.56,-6.33,-10.07
1981,"Mixed grains",143.89,129.67,-14.22,-9.88
1910,"Corn for grain",30.5,27.5,-3,-9.84
1969,Flaxseed,114,102.83,-11.17,-9.8
1925,"Mixed grains",37.33,33.67,-3.66,-9.8
1980,"Sugar beets",64.6,58.33,-6.27,-9.71
1916,"Tame hay",1.34,1.21,-0.13,-9.7
1957,"Rye, all",39.67,35.83,-3.84,-9.68
1968,"Mustard seed",114,103,-11,-9.65
1923,"Wheat, all",44,39.78,-4.22,-9.59
1923,"Peas, dry",80.78,73.11,-7.67,-9.49
1935,"Peas, dry",46.17,41.83,-4.34,-9.4
1977,Oats,84.67,76.78,-7.89,-9.32
1938,"Peas, dry",57.5,52.17,-5.33,-9.27
1969,"Mixed grains",46,41.78,-4.22,-9.17
1968,"Wheat, all",62,56.33,-5.67,-9.15
1950,"Canola (rapeseed)",110,100,-10,-9.09
1952,"Corn for grain",55,50,-5,-9.09
1921,"Peas, dry",89.22,81.11,-8.11,-9.09
1935,Oats,24.67,22.44,-2.23,-9.04
1969,Barley,45.67,41.56,-4.11,-9
1920,"Mixed grains",64.44,58.67,-5.77,-8.95
1976,"Corn for grain",113.67,103.67,-10,-8.8
1966,"Sunflower seed",121.67,111,-10.67,-8.77
1931,Oats,21.67,19.78,-1.89,-8.72
1979,"Mustard seed",229.67,209.67,-20,-8.71
1957,"Beans, all dry (white and coloured)",150,137,-13,-8.67
1984,"Canola (rapeseed)",381.2,348.2,-33,-8.66
1957,Buckwheat,52,47.5,-4.5,-8.65
1952,"Tame hay",1.78,1.63,-0.15,-8.43
1928,"Peas, dry",79.89,73.22,-6.67,-8.35
1952,"Rye, all",62.5,57.33,-5.17,-8.27
1981,Barley,146.44,134.44,-12,-8.19
1920,"Rye, all",64.38,59.12,-5.26,-8.17
1968,Soybeans,98,90,-8,-8.16
1932,"Wheat, all",23.22,21.33,-1.89,-8.14
1969,"Rye, all",41.17,37.83,-3.34,-8.11
1931,"Sugar beets",0.75,0.69,-0.06,-8
1957,Soybeans,82,75.5,-6.5,-7.93
1954,"Sugar beets",14.42,13.28,-1.14,-7.91
1940,"Mixed grains",22.44,20.67,-1.77,-7.89
1953,"Peas, dry",109.83,101.17,-8.66,-7.88
1976,"Mustard seed",275,253.67,-21.33,-7.76
1954,"Mustard seed",105,97,-8,-7.62
1975,"Wheat, all",135.67,125.33,-10.34,-7.62
1968,"Mixed grains",49.78,46,-3.78,-7.59
1927,"Corn for silage",0.66,0.61,-0.05,-7.58
1920,"Beans, all dry (white and coloured)",164.14,151.71,-12.43,-7.57
1984,"Rye, all",114.67,106,-8.67,-7.56
1940,Oats,25.11,23.22,-1.89,-7.53
1925,"Peas, dry",78.44,72.56,-5.88,-7.5
1937,"Corn for grain",27,25,-2,-7.41
1977,Soybeans,259,240,-19,-7.34
1969,"Wheat, all",56.33,52.22,-4.11,-7.3
1961,"Sugar beets",15.67,14.53,-1.14,-7.28
1968,"Corn for grain",55.67,51.67,-4,-7.19
1977,"Corn for grain",103.67,96.33,-7.34,-7.08
1953,"Corn for grain",50,46.5,-3.5,-7
1928,Oats,39.89,37.11,-2.78,-6.97
1915,"Wheat, all",41.44,38.56,-2.88,-6.95
1952,Soybeans,101,94,-7,-6.93
1927,"Tame hay",1.3,1.21,-0.09,-6.92
1965,Flaxseed,114.67,106.83,-7.84,-6.84
1952,Oats,54,50.33,-3.67,-6.8
1979,Soybeans,281,262,-19,-6.76
1938,"Beans, all dry (white and coloured)",66.67,62.17,-4.5,-6.75
1940,Barley,24.78,23.11,-1.67,-6.74
1958,"Peas, dry",99.83,93.17,-6.66,-6.67
1971,"Rye, all",37.67,35.17,-2.5,-6.64
1970,"Sugar beets",18.67,17.43,-1.24,-6.64
1968,Barley,48.89,45.67,-3.22,-6.59
1932,"Mixed grains",16.89,15.78,-1.11,-6.57
1977,"Mustard seed",253.67,237,-16.67,-6.57
1957,Oats,45.67,42.67,-3,-6.57
1949,"Rye, all",53.33,49.83,-3.5,-6.56
1950,"Corn for silage",0.92,0.86,-0.06,-6.52
1931,Barley,20.44,19.11,-1.33,-6.51
1977,"Beans, all dry (white and coloured)",354,331,-23,-6.5
1962,Oats,50.22,47,-3.22,-6.41
1952,Buckwheat,62.5,58.5,-4,-6.4
1928,"Mixed grains",38.22,35.78,-2.44,-6.38
1984,"Corn for grain",173,162,-11,-6.36
1971,Flaxseed,91.83,86,-5.83,-6.35
1910,"Rye, all",29.43,27.57,-1.86,-6.32
1925,Buckwheat,43.4,40.67,-2.73,-6.29
1963,Flaxseed,121.83,114.17,-7.66,-6.29
1981,"Tame hay",62.87,58.92,-3.95,-6.28
1981,Oats,134.67,126.22,-8.45,-6.27
1922,Flaxseed,73.6,69,-4.6,-6.25
1949,"Peas, dry",107.83,101.17,-6.66,-6.18
1927,"Rye, all",40.62,38.12,-2.5,-6.15
1909,Oats,26.5,24.88,-1.62,-6.11
1954,"Wheat, all",56.56,53.11,-3.45,-6.1
1974,"Rye, all",96.33,90.5,-5.83,-6.05
1911,"Wheat, all",34.89,32.78,-2.11,-6.05
1977,"Wheat, all",107.56,101.11,-6.45,-6
1951,"Beans, all dry (white and coloured)",176,165.5,-10.5,-5.97
1953,"Sunflower seed",101,95,-6,-5.94
1968,"Beans, all dry (white and coloured)",177,166.5,-10.5,-5.93
1971,"Canola (rapeseed)",102,96,-6,-5.88
1944,Oats,39.78,37.44,-2.34,-5.88
1942,"Tame hay",1.19,1.12,-0.07,-5.88
1951,"Tame hay",1.89,1.78,-0.11,-5.82
1952,"Canola (rapeseed)",78,73.5,-4.5,-5.77
1938,"Corn for silage",0.52,0.49,-0.03,-5.77
1965,Soybeans,105,99,-6,-5.71
1952,"Wheat, all",66.67,62.89,-3.78,-5.67
1928,Barley,39.44,37.22,-2.22,-5.63
1968,"Canola (rapeseed)",84.75,80,-4.75,-5.6
1935,"Mixed grains",21.78,20.56,-1.22,-5.6
1983,Lentils,371,350.33,-20.67,-5.57
1913,"Corn for silage",0.72,0.68,-0.04,-5.56
1956,Flaxseed,108,102,-6,-5.56
1951,"Mixed grains",50.22,47.44,-2.78,-5.54
1960,Flaxseed,117.8,111.33,-6.47,-5.49
1910,"Mixed grains",28.8,27.22,-1.58,-5.49
1956,Buckwheat,55,52,-3,-5.45
1962,Flaxseed,128.83,121.83,-7,-5.43
1932,"Rye, all",15.33,14.5,-0.83,-5.41
1945,Soybeans,74,70,-4,-5.41
1972,"Beans, all dry (white and coloured)",204,193,-11,-5.39
1936,"Tame hay",0.93,0.88,-0.05,-5.38
1910,"Corn for silage",0.56,0.53,-0.03,-5.36
1968,"Rye, all",43.5,41.17,-2.33,-5.36
1982,Soybeans,264,250,-14,-5.3
1981,"Wheat, all",184.89,175.11,-9.78,-5.29
1956,"Canola (rapeseed)",82,77.67,-4.33,-5.28
1916,"Corn for silage",0.57,0.54,-0.03,-5.26
1982,"Corn for grain",133.25,126.25,-7,-5.25
1967,Barley,51.56,48.89,-2.67,-5.18
1981,Flaxseed,330.33,313.33,-17,-5.15
1962,"Mixed grains",47.67,45.22,-2.45,-5.14
1969,"Beans, all dry (white and coloured)",166.5,158,-8.5,-5.11
1956,Oats,48.11,45.67,-2.44,-5.07
1923,Barley,33.11,31.44,-1.67,-5.04
1967,"Peas, dry",102.33,97.17,-5.16,-5.04
1915,"Rye, all",36.33,34.5,-1.83,-5.04
1957,Barley,44.22,42,-2.22,-5.02
1926,"Wheat, all",53.44,50.78,-2.66,-4.98
1961,"Sunflower seed",90.5,86,-4.5,-4.97
1979,"Sunflower seed",231.5,220,-11.5,-4.97
1969,Oats,44.89,42.67,-2.22,-4.95
1927,Flaxseed,71,67.5,-3.5,-4.93
1922,"Mixed grains",31.44,29.89,-1.55,-4.93
1959,Soybeans,72,68.5,-3.5,-4.86
1948,"Tame hay",1.85,1.76,-0.09,-4.86
1964,"Corn for grain",51.5,49,-2.5,-4.85
1954,"Canola (rapeseed)",83,79,-4,-4.82
1927,"Wheat, all",50.78,48.33,-2.45,-4.82
1928,"Wheat, all",48.33,46,-2.33,-4.82
1919,"Rye, all",67.62,64.38,-3.24,-4.79
1912,Oats,28,26.67,-1.33,-4.75
1971,Barley,44.67,42.56,-2.11,-4.72
1962,Barley,49.89,47.56,-2.33,-4.67
1957,"Mixed grains",40.56,38.67,-1.89,-4.66
1951,"Sugar beets",1.72,1.64,-0.08,-4.65
1951,"Sunflower seed",86,82,-4,-4.65
1958,Soybeans,75.5,72,-3.5,-4.64
1967,"Corn for grain",58.33,55.67,-2.66,-4.56
1967,"Sunflower seed",111,106,-5,-4.5
1922,"Corn for silage",0.89,0.85,-0.04,-4.49
1969,"Peas, dry",94,89.83,-4.17,-4.44
1956,"Mixed grains",42.44,40.56,-1.88,-4.43
1912,"Wheat, all",32.78,31.33,-1.45,-4.42
1925,"Beans, all dry (white and coloured)",104.86,100.29,-4.57,-4.36
1932,"Sugar beets",0.69,0.66,-0.03,-4.35
1955,"Sunflower seed",92,88,-4,-4.35
1958,"Tame hay",17.76,16.99,-0.77,-4.34
1953,Soybeans,94,90,-4,-4.26
1929,"Corn for grain",49,47,-2,-4.08
1975,Oats,100.89,96.78,-4.11,-4.07
1945,"Sugar beets",1.23,1.18,-0.05,-4.07
1912,"Tame hay",1.27,1.22,-0.05,-3.94
1960,"Peas, dry",93.5,89.83,-3.67,-3.93
1960,"Tame hay",17.31,16.63,-0.68,-3.93
1915,"Mixed grains",31.67,30.44,-1.23,-3.88
1922,Buckwheat,41.6,40,-1.6,-3.85
