ref_date,type_of_crop,prior_year_production_metric_tonnes,current_year_production_metric_tonnes,following_year_production_metric_tonnes
1952,"Mixed grains",1417250,1307400,1382600
1953,"Mixed grains",1307400,1382600,1298800
1954,"Mixed grains",1382600,1298800,1352900
1955,"Mixed grains",1298800,1352900,1359800
1956,"Mixed grains",1352900,1359800,1281650
1957,"Mixed grains",1359800,1281650,1302850
1958,"Mixed grains",1281650,1302850,1278350
1959,"Mixed grains",1302850,1278350,1202850
1960,"Mixed grains",1278350,1202850,1251450
1961,"Mixed grains",1202850,1251450,1475400
1962,"Mixed grains",1251450,1475400,1444000
1963,"Mixed grains",1475400,1444000,1452300
1964,"Mixed grains",1444000,1452300,1649150
1965,"Mixed grains",1452300,1649150,1662400
1966,"Mixed grains",1649150,1662400,1568850
1967,"Mixed grains",1662400,1568850,1772150
1968,"Mixed grains",1568850,1772150,1792550
1969,"Mixed grains",1772150,1792550,2026200
1970,"Mixed grains",1792550,2026200,2183700
1971,"Mixed grains",2026200,2183700,2127350
1972,"Mixed grains",2183700,2127350,1980700
1973,"Mixed grains",2127350,1980700,1635850
1974,"Mixed grains",1980700,1635850,1819600
1975,"Mixed grains",1635850,1819600,1558750
1976,"Mixed grains",1819600,1558750,1596900
1977,"Mixed grains",1558750,1596900,1635200
1978,"Mixed grains",1596900,1635200,1559950
1979,"Mixed grains",1635200,1559950,1509250
1980,"Mixed grains",1559950,1509250,1458900
1981,"Mixed grains",1509250,1458900,1483600
1982,"Mixed grains",1458900,1483600,1146200
1983,"Mixed grains",1483600,1146200,1238100
1984,"Mixed grains",1146200,1238100,NULL
1951,"Mustard seed",NULL,8000,10200
1952,"Mustard seed",8000,10200,8600
1953,"Mustard seed",10200,8600,12200
1954,"Mustard seed",8600,12200,22500
1955,"Mustard seed",12200,22500,60400
1956,"Mustard seed",22500,60400,32300
1957,"Mustard seed",60400,32300,31900
1958,"Mustard seed",32300,31900,22300
1959,"Mustard seed",31900,22300,26200
1960,"Mustard seed",22300,26200,17100
1961,"Mustard seed",26200,17100,22800
1962,"Mustard seed",17100,22800,48800
1963,"Mustard seed",22800,48800,22500
1964,"Mustard seed",48800,22500,55600
1965,"Mustard seed",22500,55600,75000
1966,"Mustard seed",55600,75000,68000
1967,"Mustard seed",75000,68000,212700
1968,"Mustard seed",68000,212700,117000
1969,"Mustard seed",212700,117000,85200
1970,"Mustard seed",117000,85200,84200
1971,"Mustard seed",85200,84200,68800
1972,"Mustard seed",84200,68800,118800
1973,"Mustard seed",68800,118800,117900
1974,"Mustard seed",118800,117900,50200
1975,"Mustard seed",117900,50200,35300
1976,"Mustard seed",50200,35300,79300
1977,"Mustard seed",35300,79300,103300
1978,"Mustard seed",79300,103300,49900
1979,"Mustard seed",103300,49900,90700
1980,"Mustard seed",49900,90700,98000
1981,"Mustard seed",90700,98000,76500
1982,"Mustard seed",98000,76500,86400
1983,"Mustard seed",76500,86400,112400
1984,"Mustard seed",86400,112400,NULL
1908,Oats,NULL,3861650,5451400
1909,Oats,3861650,5451400,3785150
1910,Oats,5451400,3785150,5640100
1911,Oats,3785150,5640100,6039750
1912,Oats,5640100,6039750,6240300
1913,Oats,6039750,6240300,4828100
1914,Oats,6240300,4828100,7171100
1915,Oats,4828100,7171100,6326100
1916,Oats,7171100,6326100,6215500
1917,Oats,6326100,6215500,6574150
1918,Oats,6215500,6574150,6083100
1919,Oats,6574150,6083100,8184500
1920,Oats,6083100,8184500,6574250
1921,Oats,8184500,6574250,7575750
1922,Oats,6574250,7575750,8697350
1923,Oats,7575750,8697350,6260850
1924,Oats,8697350,6260850,6204600
1925,Oats,6260850,6204600,5912200
1926,Oats,6204600,5912200,6780750
1927,Oats,5912200,6780750,6973350
1928,Oats,6780750,6973350,4361950
1929,Oats,6973350,4361950,6526500
1930,Oats,4361950,6526500,5062650
1931,Oats,6526500,5062650,6038050
1932,Oats,5062650,6038050,4741700
1933,Oats,6038050,4741700,4952100
1934,Oats,4741700,4952100,6081550
1935,Oats,4952100,6081550,4192050
1936,Oats,6081550,4192050,4139700
1937,Oats,4192050,4139700,5727500
1938,Oats,4139700,5727500,5928150
1939,Oats,5727500,5928150,5867800
1940,Oats,5928150,5867800,4719100
1941,Oats,5867800,4719100,9893650
1942,Oats,4719100,9893650,7118650
1943,Oats,9893650,7118650,7310150
1944,Oats,7118650,7310150,5417100
1945,Oats,7310150,5417100,5564900
1946,Oats,5417100,5564900,4167450
1947,Oats,5564900,4167450,5326350
1948,Oats,4167450,5326350,4697800
1949,Oats,5326350,4697800,6196250
1950,Oats,4697800,6196250,7616250
1951,Oats,6196250,7616250,7264500
1952,Oats,7616250,7264500,6383750
1953,Oats,7264500,6383750,4722800
1954,Oats,6383750,4722800,6161800
1955,Oats,4722800,6161800,7210350
1956,Oats,6161800,7210350,4887300
1957,Oats,7210350,4887300,5331450
1958,Oats,4887300,5331450,5307950
1959,Oats,5331450,5307950,6145850
1960,Oats,5307950,6145850,4378900
1961,Oats,6145850,4378900,7597300
1962,Oats,4378900,7597300,6876050
1963,Oats,7597300,6876050,5351600
1964,Oats,6876050,5351600,6168850
1965,Oats,5351600,6168850,5717400
1966,Oats,6168850,5717400,4654750
1967,Oats,5717400,4654750,5501050
1968,Oats,4654750,5501050,5473100
1969,Oats,5501050,5473100,5444300
1970,Oats,5473100,5444300,5640550
1971,Oats,5444300,5640550,4664300
1972,Oats,5640550,4664300,5070950
1973,Oats,4664300,5070950,3977550
1974,Oats,5070950,3977550,4480200
1975,Oats,3977550,4480200,4831542
1976,Oats,4480200,4831542,4282850
1977,Oats,4831542,4282850,3568050
1978,Oats,4282850,3568050,2878400
1979,Oats,3568050,2878400,2912000
1980,Oats,2878400,2912000,3188300
1981,Oats,2912000,3188300,3636800
1982,Oats,3188300,3636800,2773300
1983,Oats,3636800,2773300,2576100
1984,Oats,2773300,2576100,NULL
1908,"Peas, dry",NULL,192100,221650
1909,"Peas, dry",192100,221650,130400
1910,"Peas, dry",221650,130400,127000
1911,"Peas, dry",130400,127000,106450
1912,"Peas, dry",127000,106450,107550
1913,"Peas, dry",106450,107550,91450
1914,"Peas, dry",107550,91450,94550
1915,"Peas, dry",91450,94550,60400
1916,"Peas, dry",94550,60400,82250
1917,"Peas, dry",60400,82250,117450
1918,"Peas, dry",82250,117450,92650
1919,"Peas, dry",117450,92650,96050
1920,"Peas, dry",92650,96050,75400
1921,"Peas, dry",96050,75400,93300
1922,"Peas, dry",75400,93300,78900
1923,"Peas, dry",93300,78900,88150
1924,"Peas, dry",78900,88150,92900
1925,"Peas, dry",88150,92900,71750
1926,"Peas, dry",92900,71750,76050
1927,"Peas, dry",71750,76050,70400
1928,"Peas, dry",76050,70400,53900
1929,"Peas, dry",70400,53900,64550
1930,"Peas, dry",53900,64550,37250
1931,"Peas, dry",64550,37250,41300
1932,"Peas, dry",37250,41300,37450
1933,"Peas, dry",41300,37450,43200
1934,"Peas, dry",37450,43200,44000
1935,"Peas, dry",43200,44000,33500
1936,"Peas, dry",44000,33500,32700
1937,"Peas, dry",33500,32700,37150
1938,"Peas, dry",32700,37150,35600
1939,"Peas, dry",37150,35600,36950
1940,"Peas, dry",35600,36950,32150
1941,"Peas, dry",36950,32150,37900
1942,"Peas, dry",32150,37900,36500
1943,"Peas, dry",37900,36500,26950
1944,"Peas, dry",36500,26950,36250
1945,"Peas, dry",26950,36250,55650
1946,"Peas, dry",36250,55650,42450
1947,"Peas, dry",55650,42450,31800
1948,"Peas, dry",42450,31800,21000
1949,"Peas, dry",31800,21000,17750
1950,"Peas, dry",21000,17750,20450
1951,"Peas, dry",17750,20450,26000
1952,"Peas, dry",20450,26000,35750
1953,"Peas, dry",26000,35750,26300
1954,"Peas, dry",35750,26300,31250
1955,"Peas, dry",26300,31250,49400
1956,"Peas, dry",31250,49400,36700
1957,"Peas, dry",49400,36700,30450
1958,"Peas, dry",36700,30450,27650
1959,"Peas, dry",30450,27650,30450
1960,"Peas, dry",27650,30450,28300
1961,"Peas, dry",30450,28300,22350
1962,"Peas, dry",28300,22350,28400
1963,"Peas, dry",22350,28400,46950
1964,"Peas, dry",28400,46950,36100
1965,"Peas, dry",46950,36100,29750
1966,"Peas, dry",36100,29750,30250
1967,"Peas, dry",29750,30250,27500
1968,"Peas, dry",30250,27500,34650
1969,"Peas, dry",27500,34650,44050
1970,"Peas, dry",34650,44050,52500
1971,"Peas, dry",44050,52500,43250
1972,"Peas, dry",52500,43250,43500
1973,"Peas, dry",43250,43500,46000
1974,"Peas, dry",43500,46000,49250
1975,"Peas, dry",46000,49250,43450
1976,"Peas, dry",49250,43450,55000
1977,"Peas, dry",43450,55000,79700
1978,"Peas, dry",55000,79700,77550
1979,"Peas, dry",79700,77550,75950
1980,"Peas, dry",77550,75950,110500
1981,"Peas, dry",75950,110500,156800
1982,"Peas, dry",110500,156800,116700
1983,"Peas, dry",156800,116700,131100
1984,"Peas, dry",116700,131100,NULL
1908,"Rye, all",NULL,43902,43902
1909,"Rye, all",43902,43902,39900
1910,"Rye, all",43902,39900,64300
1911,"Rye, all",39900,64300,62000
1912,"Rye, all",64300,62000,59000
1913,"Rye, all",62000,59000,51200
1914,"Rye, all",59000,51200,63200
1915,"Rye, all",51200,63200,72800
1916,"Rye, all",63200,72800,97400
1917,"Rye, all",72800,97400,216027
1918,"Rye, all",97400,216027,259878
1919,"Rye, all",216027,259878,287102
1920,"Rye, all",259878,287102,545503
1921,"Rye, all",287102,545503,822779
1922,"Rye, all",545503,822779,589900
1923,"Rye, all",822779,589900,349400
1924,"Rye, all",589900,349400,232800
1925,"Rye, all",349400,232800,309300
1926,"Rye, all",232800,309300,395400
1927,"Rye, all",309300,395400,371500
1928,"Rye, all",395400,371500,334100
1929,"Rye, all",371500,334100,558500
1930,"Rye, all",334100,558500,134200
1931,"Rye, all",558500,134200,215000
1932,"Rye, all",134200,215000,106700
1933,"Rye, all",215000,106700,119500
1934,"Rye, all",106700,119500,243500
1935,"Rye, all",119500,243500,109300
1936,"Rye, all",243500,109300,146000
1937,"Rye, all",109300,146000,279200
1938,"Rye, all",146000,279200,389500
1939,"Rye, all",279200,389500,355900
1940,"Rye, all",389500,355900,283300
1941,"Rye, all",355900,283300,614500
1942,"Rye, all",283300,614500,162000
1943,"Rye, all",614500,162000,215900
1944,"Rye, all",162000,215900,148900
1945,"Rye, all",215900,148900,220500
1946,"Rye, all",148900,220500,346300
1947,"Rye, all",220500,346300,698600
1948,"Rye, all",346300,698600,258900
1949,"Rye, all",698600,258900,330900
1950,"Rye, all",258900,330900,446900
1951,"Rye, all",330900,446900,609500
1952,"Rye, all",446900,609500,732700
1953,"Rye, all",609500,732700,325600
1954,"Rye, all",732700,325600,351300
1955,"Rye, all",325600,351300,214500
1956,"Rye, all",351300,214500,212500
1957,"Rye, all",214500,212500,195400
1958,"Rye, all",212500,195400,214400
1959,"Rye, all",195400,214400,259500
1960,"Rye, all",214400,259500,165400
1961,"Rye, all",259500,165400,312000
1962,"Rye, all",165400,312000,350200
1963,"Rye, all",312000,350200,314200
1964,"Rye, all",350200,314200,453400
1965,"Rye, all",314200,453400,437600
1966,"Rye, all",453400,437600,304500
1967,"Rye, all",437600,304500,330400
1968,"Rye, all",304500,330400,385700
1969,"Rye, all",330400,385700,479800
1970,"Rye, all",385700,479800,556600
1971,"Rye, all",479800,556600,347500
1972,"Rye, all",556600,347500,369000
1973,"Rye, all",347500,369000,498400
1974,"Rye, all",369000,498400,550300
1975,"Rye, all",498400,550300,439900
1976,"Rye, all",550300,439900,406500
1977,"Rye, all",439900,406500,605200
1978,"Rye, all",406500,605200,530400
1979,"Rye, all",605200,530400,455800
1980,"Rye, all",530400,455800,922900
1981,"Rye, all",455800,922900,928300
1982,"Rye, all",922900,928300,822700
1983,"Rye, all",928300,822700,652300
1984,"Rye, all",822700,652300,NULL
1941,Soybeans,NULL,5900,23700
1942,Soybeans,5900,23700,14800
1943,Soybeans,23700,14800,18400
1944,Soybeans,14800,18400,22900
1945,Soybeans,18400,22900,29200
1946,Soybeans,22900,29200,30200
1947,Soybeans,29200,30200,49600
1948,Soybeans,30200,49600,71000
1949,Soybeans,49600,71000,90400
1950,Soybeans,71000,90400,104600
1951,Soybeans,90400,104600,112300
1952,Soybeans,104600,112300,136400
1953,Soybeans,112300,136400,130000
1954,Soybeans,136400,130000,163100
1955,Soybeans,130000,163100,144250
1956,Soybeans,163100,144250,177050
1957,Soybeans,144250,177050,181000
1958,Soybeans,177050,181000,185800
1959,Soybeans,181000,185800,136050
1960,Soybeans,185800,136050,180500
1961,Soybeans,136050,180500,179800
1962,Soybeans,180500,179800,136100
1963,Soybeans,179800,136100,189900
1964,Soybeans,136100,189900,218500
1965,Soybeans,189900,218500,245300
1966,Soybeans,218500,245300,220200
1967,Soybeans,245300,220200,245700
1968,Soybeans,220200,245700,208600
1969,Soybeans,245700,208600,282600
1970,Soybeans,208600,282600,279800
1971,Soybeans,282600,279800,374800
1972,Soybeans,279800,374800,396500
1973,Soybeans,374800,396500,300700
1974,Soybeans,396500,300700,366800
1975,Soybeans,300700,366800,250400
1976,Soybeans,366800,250400,580000
1977,Soybeans,250400,580000,515600
1978,Soybeans,580000,515600,657300
1979,Soybeans,515600,657300,689800
1980,Soybeans,657300,689800,606800
1981,Soybeans,689800,606800,848000
1982,Soybeans,606800,848000,735000
1983,Soybeans,848000,735000,917000
1984,Soybeans,735000,917000,NULL
1908,"Sugar beets",NULL,98900,78000
1909,"Sugar beets",98900,78000,170500
1910,"Sugar beets",78000,170500,158800
1911,"Sugar beets",170500,158800,182400
1912,"Sugar beets",158800,182400,134300
1913,"Sugar beets",182400,134300,98500
1914,"Sugar beets",134300,98500,127900
1915,"Sugar beets",98500,127900,64400
1916,"Sugar beets",127900,64400,106700
1917,"Sugar beets",64400,106700,163300
1918,"Sugar beets",106700,163300,217700
1919,"Sugar beets",163300,217700,374100
1920,"Sugar beets",217700,374100,243100
1921,"Sugar beets",374100,243100,172700
1922,"Sugar beets",243100,172700,196100
1923,"Sugar beets",172700,196100,303000
1924,"Sugar beets",196100,303000,416100
1925,"Sugar beets",303000,416100,461100
1926,"Sugar beets",416100,461100,335600
1927,"Sugar beets",461100,335600,378800
1928,"Sugar beets",335600,378800,332000
1929,"Sugar beets",378800,332000,423700
1930,"Sugar beets",332000,423700,395500
1931,"Sugar beets",423700,395500,458700
1932,"Sugar beets",395500,458700,401300
1933,"Sugar beets",458700,401300,374400
1934,"Sugar beets",401300,374400,416600
1935,"Sugar beets",374400,416600,504400
1936,"Sugar beets",416600,504400,382900
1937,"Sugar beets",504400,382900,451900
1938,"Sugar beets",382900,451900,532000
1939,"Sugar beets",451900,532000,748800
1940,"Sugar beets",532000,748800,645800
1941,"Sugar beets",748800,645800,649100
1942,"Sugar beets",645800,649100,430400
1943,"Sugar beets",649100,430400,513700
1944,"Sugar beets",430400,513700,561300
1945,"Sugar beets",513700,561300,667500
1946,"Sugar beets",561300,667500,549500
1947,"Sugar beets",667500,549500,570800
1948,"Sugar beets",549500,570800,779000
1949,"Sugar beets",570800,779000,1012200
1950,"Sugar beets",779000,1012200,875800
1951,"Sugar beets",1012200,875800,928000
1952,"Sugar beets",875800,928000,816800
1953,"Sugar beets",928000,816800,910600
1954,"Sugar beets",816800,910600,890000
1955,"Sugar beets",910600,890000,810100
1956,"Sugar beets",890000,810100,955700
1957,"Sugar beets",810100,955700,1201900
1958,"Sugar beets",955700,1201900,1124500
1959,"Sugar beets",1201900,1124500,996700
1960,"Sugar beets",1124500,996700,1003100
1961,"Sugar beets",996700,1003100,1003200
1962,"Sugar beets",1003100,1003200,1166300
1963,"Sugar beets",1003200,1166300,1177500
1964,"Sugar beets",1166300,1177500,1036300
1965,"Sugar beets",1177500,1036300,1058200
1966,"Sugar beets",1036300,1058200,980800
1967,"Sugar beets",1058200,980800,996300
1968,"Sugar beets",980800,996300,978100
1969,"Sugar beets",996300,978100,831800
1970,"Sugar beets",978100,831800,1103100
1971,"Sugar beets",831800,1103100,970400
1972,"Sugar beets",1103100,970400,901800
1973,"Sugar beets",970400,901800,751600
1974,"Sugar beets",901800,751600,942500
1975,"Sugar beets",751600,942500,1158200
1976,"Sugar beets",942500,1158200,1011025
1977,"Sugar beets",1158200,1011025,946500
1978,"Sugar beets",1011025,946500,855400
1979,"Sugar beets",946500,855400,881000
1980,"Sugar beets",855400,881000,1215100
1981,"Sugar beets",881000,1215100,1024200
1982,"Sugar beets",1215100,1024200,1167400
1983,"Sugar beets",1024200,1167400,925900
1984,"Sugar beets",1167400,925900,NULL
1943,"Sunflower seed",NULL,2450,3900
1944,"Sunflower seed",2450,3900,1400
1945,"Sunflower seed",3900,1400,5900
1946,"Sunflower seed",1400,5900,7300
1947,"Sunflower seed",5900,7300,10500
1948,"Sunflower seed",7300,10500,11600
1949,"Sunflower seed",10500,11600,4500
1950,"Sunflower seed",11600,4500,3400
1951,"Sunflower seed",4500,3400,900
1952,"Sunflower seed",3400,900,2800
1953,"Sunflower seed",900,2800,7400
1954,"Sunflower seed",2800,7400,6800
1955,"Sunflower seed",7400,6800,8000
1956,"Sunflower seed",6800,8000,5400
1957,"Sunflower seed",8000,5400,10050
1958,"Sunflower seed",5400,10050,14700
1959,"Sunflower seed",10050,14700,13300
1960,"Sunflower seed",14700,13300,10950
1961,"Sunflower seed",13300,10950,7900
1962,"Sunflower seed",10950,7900,18000
1963,"Sunflower seed",7900,18000,14000
1964,"Sunflower seed",18000,14000,13250
1965,"Sunflower seed",14000,13250,14850
1966,"Sunflower seed",13250,14850,16400
1967,"Sunflower seed",14850,16400,11250
1968,"Sunflower seed",16400,11250,15400
1969,"Sunflower seed",11250,15400,25150
1970,"Sunflower seed",15400,25150,76700
1971,"Sunflower seed",25150,76700,77050
1972,"Sunflower seed",76700,77050,41250
1973,"Sunflower seed",77050,41250,8300
1974,"Sunflower seed",41250,8300,29900
1975,"Sunflower seed",8300,29900,24000
1976,"Sunflower seed",29900,24000,81000
1977,"Sunflower seed",24000,81000,120200
1978,"Sunflower seed",81000,120200,217800
1979,"Sunflower seed",120200,217800,166100
1980,"Sunflower seed",217800,166100,165200
1981,"Sunflower seed",166100,165200,94600
1982,"Sunflower seed",165200,94600,46200
1983,"Sunflower seed",94600,46200,84800
1984,"Sunflower seed",46200,84800,NULL
1908,"Tame hay",NULL,10388000,10776000
1909,"Tame hay",10388000,10776000,9545000
1910,"Tame hay",10776000,9545000,13015000
1911,"Tame hay",9545000,13015000,11251000
1912,"Tame hay",13015000,11251000,10066000
1913,"Tame hay",11251000,10066000,9506000
1914,"Tame hay",10066000,9506000,9864000
1915,"Tame hay",9506000,9864000,13440000
1916,"Tame hay",9864000,13440000,12653000
1917,"Tame hay",13440000,12653000,13804000
1918,"Tame hay",12653000,13804000,15279000
1919,"Tame hay",13804000,15279000,12630000
1920,"Tame hay",15279000,12630000,10913000
1921,"Tame hay",12630000,10913000,13874000
1922,"Tame hay",10913000,13874000,14400000
1923,"Tame hay",13874000,14400000,14711000
1924,"Tame hay",14400000,14711000,15009000
1925,"Tame hay",14711000,15009000,14624000
1926,"Tame hay",15009000,14624000,17714000
1927,"Tame hay",14624000,17714000,16806000
1928,"Tame hay",17714000,16806000,16028000
1929,"Tame hay",16806000,16028000,16363000
1930,"Tame hay",16028000,16363000,14450000
1931,"Tame hay",16363000,14450000,13901000
1932,"Tame hay",14450000,13901000,11879000
1933,"Tame hay",13901000,11879000,11342000
1934,"Tame hay",11879000,11342000,14531000
1935,"Tame hay",11342000,14531000,14306000
1936,"Tame hay",14531000,14306000,13732000
1937,"Tame hay",14306000,13732000,14387000
1938,"Tame hay",13732000,14387000,14102000
1939,"Tame hay",14387000,14102000,15112000
1940,"Tame hay",14102000,15112000,13109000
1941,"Tame hay",15112000,13109000,16625000
1942,"Tame hay",13109000,16625000,17409000
1943,"Tame hay",16625000,17409000,15351000
1944,"Tame hay",17409000,15351000,17493000
1945,"Tame hay",15351000,17493000,14406000
1946,"Tame hay",17493000,14406000,15790000
1947,"Tame hay",14406000,15790000,15965000
1948,"Tame hay",15790000,15965000,12229000
1949,"Tame hay",15965000,12229000,13457000
1950,"Tame hay",12229000,13457000,18317000
1951,"Tame hay",13457000,18317000,17891000
1952,"Tame hay",18317000,17891000,18157000
1953,"Tame hay",17891000,18157000,18290000
1954,"Tame hay",18157000,18290000,18273000
1955,"Tame hay",18290000,18273000,17831000
1956,"Tame hay",18273000,17831000,17412000
1957,"Tame hay",17831000,17412000,16262000
1958,"Tame hay",17412000,16262000,18237000
1959,"Tame hay",16262000,18237000,19591000
1960,"Tame hay",18237000,19591000,18879000
1961,"Tame hay",19591000,18879000,20539000
1962,"Tame hay",18879000,20539000,21208000
1963,"Tame hay",20539000,21208000,19567000
1964,"Tame hay",21208000,19567000,19402000
1965,"Tame hay",19567000,19402000,23630000
1966,"Tame hay",19402000,23630000,22718000
1967,"Tame hay",23630000,22718000,20319000
1968,"Tame hay",22718000,20319000,22316000
1969,"Tame hay",20319000,22316000,24455000
1970,"Tame hay",22316000,24455000,21948000
1971,"Tame hay",24455000,21948000,21178000
1972,"Tame hay",21948000,21178000,23253000
1973,"Tame hay",21178000,23253000,23149000
1974,"Tame hay",23253000,23149000,23859000
1975,"Tame hay",23149000,23859000,24964573
1976,"Tame hay",23859000,24964573,24643600
1977,"Tame hay",24964573,24643600,26708000
1978,"Tame hay",24643600,26708000,26169500
1979,"Tame hay",26708000,26169500,23167800
1980,"Tame hay",26169500,23167800,24989400
1981,"Tame hay",23167800,24989400,24355000
1982,"Tame hay",24989400,24355000,24723700
1983,"Tame hay",24355000,24723700,25362600
1984,"Tame hay",24723700,25362600,NULL
1908,"Wheat, all",NULL,3060250,4537850
1909,"Wheat, all",3060250,4537850,3595200
1910,"Wheat, all",4537850,3595200,6293500
1911,"Wheat, all",3595200,6293500,6101350
1912,"Wheat, all",6293500,6101350,6305250
1913,"Wheat, all",6101350,6305250,4389200
1914,"Wheat, all",6305250,4389200,10711050
1915,"Wheat, all",4389200,10711050,7150950
1916,"Wheat, all",10711050,7150950,6360900
1917,"Wheat, all",7150950,6360900,5145600
1918,"Wheat, all",6360900,5145600,5259700
1919,"Wheat, all",5145600,5259700,7162350
1920,"Wheat, all",5259700,7162350,8189050
1921,"Wheat, all",7162350,8189050,10879150
1922,"Wheat, all",8189050,10879150,12905350
1923,"Wheat, all",10879150,12905350,7132200
1924,"Wheat, all",12905350,7132200,10762900
1925,"Wheat, all",7132200,10762900,11080950
1926,"Wheat, all",10762900,11080950,13054850
1927,"Wheat, all",11080950,13054850,15423950
1928,"Wheat, all",13054850,15423950,8224050
1929,"Wheat, all",15423950,8224050,11449000
1930,"Wheat, all",8224050,11449000,8745350
1931,"Wheat, all",11449000,8745350,12058550
1932,"Wheat, all",8745350,12058550,7672150
1933,"Wheat, all",12058550,7672150,7507950
1934,"Wheat, all",7672150,7507950,7673600
1935,"Wheat, all",7507950,7673600,5966950
1936,"Wheat, all",7673600,5966950,4904500
1937,"Wheat, all",5966950,4904500,9797150
1938,"Wheat, all",4904500,9797150,14169400
1939,"Wheat, all",9797150,14169400,14700800
1940,"Wheat, all",14169400,14700800,8563850
1941,"Wheat, all",14700800,8563850,15134600
1942,"Wheat, all",8563850,15134600,7711450
1943,"Wheat, all",15134600,7711450,11291450
1944,"Wheat, all",7711450,11291450,8609550
1945,"Wheat, all",11291450,8609550,11200950
1946,"Wheat, all",8609550,11200950,9211550
1947,"Wheat, all",11200950,9211550,10380750
1948,"Wheat, all",9211550,10380750,9962000
1949,"Wheat, all",10380750,9962000,12696650
1950,"Wheat, all",9962000,12696650,15068600
1951,"Wheat, all",12696650,15068600,19105400
1952,"Wheat, all",15068600,19105400,17256300
1953,"Wheat, all",19105400,17256300,8917750
1954,"Wheat, all",17256300,8917750,14246650
1955,"Wheat, all",8917750,14246650,15595500
1956,"Wheat, all",14246650,15595500,10687000
1957,"Wheat, all",15595500,10687000,10834300
1958,"Wheat, all",10687000,10834300,12112150
1959,"Wheat, all",10834300,12112150,14107400
1960,"Wheat, all",12112150,14107400,7713950
1961,"Wheat, all",14107400,7713950,15393450
1962,"Wheat, all",7713950,15393450,19689650
1963,"Wheat, all",15393450,19689650,16348800
1964,"Wheat, all",19689650,16348800,17673950
1965,"Wheat, all",16348800,17673950,22516850
1966,"Wheat, all",17673950,22516850,16136450
1967,"Wheat, all",22516850,16136450,17690400
1968,"Wheat, all",16136450,17690400,18267950
1969,"Wheat, all",17690400,18267950,9023050
1970,"Wheat, all",18267950,9023050,14411900
1971,"Wheat, all",9023050,14411900,14514450
1972,"Wheat, all",14411900,14514450,16160350
1973,"Wheat, all",14514450,16160350,13302300
1974,"Wheat, all",16160350,13302300,17081600
1975,"Wheat, all",13302300,17081600,23586674
1976,"Wheat, all",17081600,23586674,19858700
1977,"Wheat, all",23586674,19858700,21135600
1978,"Wheat, all",19858700,21135600,17196300
1979,"Wheat, all",21135600,17196300,19291400
1980,"Wheat, all",17196300,19291400,24802200
1981,"Wheat, all",19291400,24802200,26714750
1982,"Wheat, all",24802200,26714750,26464200
1983,"Wheat, all",26714750,26464200,21187900
1984,"Wheat, all",26464200,21187900,NULL
